,Country,n_channels,ave_video_views,sum_video_views,sum_uploads,n_channels_pct,ave_n_subscribers,sum_n_subscribers,total_earning,upload_subscriber_conversion,ave_earning_per_1000views,Population,channel_per_10million_ppl,unemployment_rate,Urban_population,urban_pct,ave_subscribers_for_last_30_days,gross_higher_ed_pct,Abbreviation,Alpha_3_code
0,United States,308,11842611826.899351,3647524442685.0,1299609,0.36023391812865496,23536688.31168831,7249300000,11131670512.765,5578.062324899258,3.05,328239523.0,9.38,14.7,270663028.0,0.8245899991756934,349822.80203045683,88.2,US,USA
1,India,167,13643103676.60479,2278398313993.0,3728212,0.1953216374269006,25731736.52694611,4297200000,10937447831.765,1152.6168576250493,4.8,1366417754.0,1.22,5.36,471031528.0,0.34471999988372515,392638.8888888889,28.1,IN,IND
2,Brazil,61,7848659937.344262,478768256178.0,168178,0.07134502923976609,19791803.278688524,1207300000,1752164372.0,7178.703516512267,3.66,212559417.0,2.87,12.08,183241641.0,0.8620725611041735,218181.81818181818,51.3,BR,BRA
3,United Kingdom,42,9626898604.738094,404329741399.0,86815,0.04912280701754386,19935714.285714287,837300000,1103328885.0,9644.646662443127,2.73,66834405.0,6.28,3.85,55908316.0,0.8365199929587164,177819.62962962964,60.0,GB,GBR
4,Mexico,30,5903634602.366667,177109038071.0,33410,0.03508771929824561,18453333.333333332,553600000,346510003.5,16569.88925471416,1.96,126014024.0,2.38,3.42,102626859.0,0.814408236023,176470.58823529413,40.2,MX,MEX
5,Indonesia,28,5393238180.535714,151010669055.0,678321,0.03274853801169591,19075000.0,534100000,482907134.08,787.3853234677977,3.2,270203917.0,1.04,4.69,151509724.0,0.5607236404348646,620000.05,36.3,ID,IDN
6,Spain,22,6023669745.409091,132520734399.0,70160,0.025730994152046785,17504545.454545453,385100000,275551300.99,5488.882554161915,2.08,47076781.0,4.67,13.96,37927409.0,0.8056500082280477,163691.0,88.9,ES,ESP
7,Thailand,18,14684331930.055555,264317974741.0,858953,0.021052631578947368,21472222.222222224,386500000,480882709.095,449.9664125976625,1.82,69625582.0,2.59,0.75,35294600.0,0.506919999605892,138461.53846153847,49.3,TH,THA
8,South Korea,17,13270099142.117647,225591685416.0,129724,0.019883040935672516,28335294.11764706,481700000,1308974550.0,3713.268169344146,5.8,51709098.0,3.29,4.15,42106719.0,0.8143000096424038,788888.8888888889,94.3,KR,KOR
9,Russia,15,15410066601.666666,231150999025.0,19558,0.017543859649122806,26086666.666666668,391300000,546890540.0,20007.158196134573,2.37,144373535.0,1.04,4.59,107683889.0,0.7458700031137978,392307.6923076923,81.9,RU,RUS
10,Canada,14,13133484425.357143,183868781955.0,46745,0.016374269005847954,24300000.0,340200000,586881800.0,7277.783720183977,3.19,36991981.0,3.78,5.56,30628482.0,0.827976257881404,166666.66666666666,68.9,CA,CAN
11,Argentina,13,14955027227.23077,194415353954.0,17240,0.0152046783625731,25269230.769230768,328500000,746654803.0799999,19054.524361948956,3.84,44938712.0,2.89,9.79,41339571.0,0.9199100098819032,500000.0,90.0,AR,ARG
12,Philippines,12,10760670324.083334,129128043889.0,838543,0.014035087719298246,20008333.333333332,240100000,631817000.0,286.3299795001568,4.89,108116615.0,1.11,2.15,50975903.0,0.47149000179112155,212500.0,35.5,PH,PHL
13,Colombia,11,14017982513.727272,154197807651.0,10779,0.012865497076023392,24045454.545454547,264500000,744405350.0,24538.454402078114,4.83,50339443.0,2.19,9.71,40827302.0,0.8110400029654679,522222.22222222225,55.3,CO,COL
14,Saudi Arabia,8,8972568039.625,71780544317.0,13107,0.00935672514619883,19125000.0,153000000,105881650.0,11673.151750972762,1.48,34268528.0,2.33,5.93,28807838.0,0.8406499981557422,217000.0,68.0,SA,SAU
15,Australia,8,8173683141.75,65389465134.0,7179,0.00935672514619883,19300000.0,154400000,195009934.62,21507.173701072574,2.98,25766605.0,3.1,5.27,21844756.0,0.8477933355985393,300000.5,113.1,AU,AUS
16,Ukraine,8,7308166404.25,58465331234.0,220128,0.00935672514619883,15700000.0,125600000,224011668.62,570.5771187672627,3.83,44385155.0,1.8,8.88,30835699.0,0.6947300060121453,126002.0,82.7,UA,UKR
17,United Arab Emirates,7,10760087628.857143,75320613402.0,188422,0.008187134502923977,21171428.57142857,148200000,369354300.0,786.5323582171933,4.9,9770529.0,7.16,2.35,8479744.0,0.8678899576471243,685714.2857142857,36.8,AE,ARE
18,Pakistan,6,18882236236.5,113293417419.0,507947,0.007017543859649123,25900000.0,155400000,967401852.5,305.9374304799517,8.54,216565318.0,0.28,4.45,79927762.0,0.36907000039590826,500006.6666666667,9.0,PK,PAK
19,France,5,6111528013.0,30557640065.0,2227,0.005847953216374269,16780000.0,83900000,25690205.5,37674.00089806915,0.84,67059887.0,0.75,8.43,54123364.0,0.8070899970350383,50003.5,65.6,FR,FRA
20,Japan,5,17136403486.8,85682017434.0,18856,0.005847953216374269,37820000.0,189100000,169527043.0,10028.638099278744,1.98,126226568.0,0.4,2.29,115782416.0,0.9172586867766221,700002.25,63.2,JP,JPN
21,Germany,5,10531837684.8,52659188424.0,6743,0.005847953216374269,19000000.0,95000000,117875856.0,14088.684561767759,2.24,83132799.0,0.6,3.04,64324835.0,0.7737600053620233,450895.0,70.2,DE,DEU
22,Sweden,4,5009225512.5,20036902050.0,1293,0.004678362573099415,15750000.0,63000000,69837550.0,48723.897911832944,3.49,10285453.0,3.89,6.48,9021165.0,0.8770799886013771,1550000.0,67.0,SE,SWE
23,Turkey,4,23099811190.0,92399244760.0,28189,0.004678362573099415,22900000.0,91600000,517414700.0,3249.4944836638406,5.6,83429615.0,0.48,13.49,63097818.0,0.7563000021035696,800000.0,23.9,TR,TUR
24,Chile,3,9782518859.0,29347556577.0,6771,0.0035087719298245615,29066666.666666668,87200000,39948707.525,12878.452222714517,1.36,18952038.0,1.58,7.09,16610135.0,0.876430017711024,233334.66666666666,88.5,CL,CHL
25,Netherlands,3,7955428591.333333,23866285774.0,14329,0.0035087719298245615,19366666.666666668,58100000,62655500.0,4054.714215925745,2.63,17332850.0,1.73,3.2,15924729.0,0.9187599846534182,150000.0,85.0,NL,NLD
26,Vietnam,3,8362770852.0,25088312556.0,5408,0.0035087719298245615,15933333.333333334,47800000,75647000.0,8838.757396449704,3.02,96462106.0,0.31,2.01,35332140.0,0.36627999807509903,150000.0,28.5,VN,VNM
27,Jordan,3,17696693294.666668,53090079884.0,6667,0.0035087719298245615,22333333.333333332,67000000,116505300.0,10049.497525123745,2.19,10101694.0,2.97,14.72,9213048.0,0.9120300020966781,166666.66666666666,34.4,JO,JOR
28,Ecuador,2,2746230681.5,5492461363.0,1934,0.0023391812865497076,13850000.0,27700000,14926050.0,14322.647362978283,2.72,17373662.0,1.15,3.97,11116711.0,0.6398599788576524,200000.0,44.9,EC,ECU
29,Egypt,2,4912370283.0,9824740566.0,5936,0.0023391812865497076,15300000.0,30600000,15618000.0,5154.986522911051,1.59,100388073.0,0.2,10.76,42895824.0,0.42730000405526264,100000.0,35.2,EG,EGY
30,Italy,2,9947448928.0,19894897856.0,1805,0.0023391812865497076,19700000.0,39400000,102687600.0,21828.25484764543,5.16,60297396.0,0.33,9.89,42651966.0,0.7073599994268409,1050000.0,61.9,IT,ITA
31,Iraq,2,8503826081.0,17007652162.0,3860,0.0023391812865497076,15100000.0,30200000,35016000.0,7823.834196891192,2.06,39309783.0,0.51,12.82,27783368.0,0.7067799890933003,,16.2,IQ,IRQ
32,Singapore,2,13337917354.0,26675834708.0,32039,0.0023391812865497076,15950000.0,31900000,53660200.0,995.6615375011704,2.01,5703569.0,3.51,4.11,5703569.0,1.0,100400.0,84.8,SG,SGP
33,Venezuela,1,9673649438.0,9673649438.0,65,0.0011695906432748538,31200000.0,31200000,457.5,480000.0,0.0,28515829.0,0.35,8.8,25162368.0,0.882400017197466,100.0,79.3,VE,VEN
34,Switzerland,1,5529131886.0,5529131886.0,10728,0.0011695906432748538,19400000.0,19400000,25301100.0,1808.351976137211,4.58,8574832.0,1.17,4.58,6332428.0,0.7384900368893524,100000.0,59.6,CH,CHE
